CEP	MODALIDADE DE RISCO	Escore	ESTADO	MUNICÍPIO	BAIRRO	"AEROPORTO - PORTO - RODOVIÁRIA - FAVELA - PRESÍDIO -
PAÍS(ES) FRONTEIRIÇO(S)"	LINK GOOGLE MAPS													
01218-900	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
01218-902	Região de Favela		SP	São Paulo	Campos Elíseos	DO MOINHO	https://goo.gl/maps/2biv2YbD7DMfyaKe6													
02029-001	Região de Presídio		SP	São Paulo	Carandiru	Penit. Feminina da Capital	https://goo.gl/maps/7EmKSWdyiyoV2U1v6													
02030-000	Região de Favela		SP	São Paulo	Canindé	SANTO ANTÔNIO DO CANINDÉ	https://goo.gl/maps/S9upWDeNQ5NRZtoa7													
02030-000	Região de Rodoviária		SP	São Paulo	Canindé 	Rodoviária de São Paulo – Terminal Rodoviário do Tietê	Link indisponível													
02030-100	Região de Favela		SP	São Paulo	Canindé	SANTO ANTÔNIO DO CANINDÉ	https://goo.gl/maps/S9upWDeNQ5NRZtoa7													
02030-200	Região de Favela		SP	São Paulo	Canindé	SANTO ANTÔNIO DO CANINDÉ	https://goo.gl/maps/S9upWDeNQ5NRZtoa7													
02031-000	Região de Favela		SP	São Paulo	Canindé	SANTO ANTÔNIO DO CANINDÉ	https://goo.gl/maps/S9upWDeNQ5NRZtoa7													
02031-100	Região de Favela		SP	São Paulo	Canindé	SANTO ANTÔNIO DO CANINDÉ	https://goo.gl/maps/S9upWDeNQ5NRZtoa7													
02031-200	Região de Favela		SP	São Paulo	Canindé	SANTO ANTÔNIO DO CANINDÉ	https://goo.gl/maps/S9upWDeNQ5NRZtoa7													
02032-040	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02047-000	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02047-020	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02047-030	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02047-040	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02047-050	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02047-060	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02047-070	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02047-080	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02047-090	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02047-999	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02049-000	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02049-005	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02049-010	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02049-015	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02049-900	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02050-000	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02050-010	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02050-020	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02050-030	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02050-040	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02050-050	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02051-000	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02051-001	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02051-006	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02051-010	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
02051-020	Região de Favela		SP	São Paulo	Vila Guilherme	JOÃO VELOSO	https://goo.gl/maps/LEHJDeoA5meDX3hR9													
